text,label
please explain overfitting in machine learning with an example,study_explain
could you tell me prepare concise notes on python with important points,study_notes
could you suggest a tv series for me,generic
prepare quick revision cards for revision,study_flashcards
could you tell me give me a brief overview of operating systems briefly,study_summary
can you tell me explain primary keys and foreign keys in detail,study_explain
can you give me a simple dinner recipe today,generic
can you help me help me write a birthday message this weekend,generic
please explain sql joins step by step,study_explain
could you help me recommend a restaurant nearby for me,generic
tell me give me the essential points in a few points,study_summary
could you tell me generate cards for important concepts covering important concepts,study_flashcards
could you help me tell me a joke for this evening,generic
can you recommend a restaurant nearby,generic
can you tell me turn my study material into notes in concise form,study_notes
i want to know make flashcards for quick revision covering important concepts,study_flashcards
tell me make flashcards for quick revision with questions and answers,study_flashcards
help me make a quick summary of this lesson briefly,study_summary
can you help me help me write a birthday message for this evening,generic
help me give me a simple dinner recipe when you can,generic
please tell me a joke this weekend,generic
can you summarize the uploaded document in simple words,study_summary
help me create notes about operating system deadlocks with headings,study_notes
help me prepare flashcards for my exam covering important concepts,study_flashcards
give me a brief overview of operating systems for my exam,study_summary
i need to know test my knowledge of data structures with multiple choice options,study_quiz
could you tell me what is feature engineering with an example,study_explain
help me give me the essential points,study_summary
make notes about operating systems,study_notes
i want to know give me exam notes for this topic with important points,study_notes
i need to know summarize the important formulas in a few points,study_summary
please test my understanding of operating systems for practice,study_quiz
make practice questions for this lesson with answers,study_quiz
could you what is feature engineering in simple words,study_explain
please create flashcards about operating systems for revision,study_flashcards
could you give me a simple dinner recipe for me,generic
could you generate revision notes for revision,study_notes
prepare flashcards for my exam for my exam,study_flashcards
i want to know summarize this article for studying in short,study_summary
please create flashcards from my notes for quick revision,study_flashcards
i want to know make flashcards for python concepts covering important concepts,study_flashcards
can you what is a good book to read for fun for this evening,generic
please help me recommend a restaurant nearby for this evening,generic
i need to know make notes on object oriented programming with important points,study_notes
tell me generate questions for revision at beginner level,study_quiz
can you prepare notes about cloud computing for my exam,study_notes
please give me a short revision of this lesson briefly,study_summary
i want to know prepare notes about cloud computing in simple language,study_notes
could you what is feature engineering simply,study_explain
recommend a restaurant nearby please,generic
please help me help me write a birthday message if possible,generic
i want to suggest a movie for the weekend please,generic
can you help me how is the weather today,generic
help me create notes on artificial intelligence,study_notes
tell me make revision notes for me in simple language,study_notes
i want to know make a quiz about computer networks at intermediate level,study_quiz
i need to know create notes on artificial intelligence in a structured format,study_notes
could you tell me turn my study material into notes,study_notes
help me understand computer networks in simple words,study_explain
help me generate practice mcqs for my exam,study_quiz
could you tell me give me practice questions on sql at intermediate level,study_quiz
please turn my notes into study cards with questions and answers,study_flashcards
could you tell me give me a brief revision guide for quick revision,study_summary
give me practice questions on sql for my exam,study_quiz
i want to know explain object oriented programming for beginners,study_explain
i want to know make revision notes for me,study_notes
help me create notes for this chapter with important points,study_notes
could you make revision notes for me in concise form,study_notes
could you explain primary keys and foreign keys step by step,study_explain
please help me what is trending on social media please,generic
can you tell me create notes on artificial intelligence with important points,study_notes
could you test my understanding of operating systems with multiple choice options,study_quiz
help me create flashcards from my notes for quick revision,study_flashcards
generate flashcards for revision in simple language,study_flashcards
can you tell me test me on machine learning at beginner level,study_quiz
please explain object oriented programming in simple words,study_explain
suggest a restaurant nearby if possible,generic
i need help to what is trending on social media for me,generic
i need to know generate flashcards for revision in simple language,study_flashcards
please help me help me write a birthday message right now,generic
