text,label
can you turn these paragraphs into notes for revision,study_notes
i want to know give me the chapter summary briefly,study_summary
tell me explain primary keys and foreign keys in detail,study_explain
could you tell me generate revision notes for my exam,study_notes
tell me create an exam quiz for me at intermediate level,study_quiz
could you tell me summarize the causes of world war 1 briefly,study_summary
give me the chapter summary for quick revision,study_summary
can you test my understanding of operating systems for revision,study_quiz
i need to know generate 20 questions about python with multiple choice options,study_quiz
please help me write a birthday message today,generic
could you help me suggest a movie for the weekend today,generic
could you generate flashcards for revision for quick revision,study_flashcards
please prepare notes about cloud computing in simple language,study_notes
please what can i do this weekend for this evening,generic
can you tell me prepare concise notes on python for my exam,study_notes
can you tell me test me on machine learning for my exam,study_quiz
i need to know prepare quick revision cards for quick revision,study_flashcards
i need to know explain sql joins simply,study_explain
can you tell me explain object oriented programming in detail,study_explain
can you explain primary keys and foreign keys in simple terms,study_explain
tell me create flashcards about operating systems in simple language,study_flashcards
help me explain cloud computing with an example,study_explain
tell me give me the essential points,study_summary
can you make notes about operating systems with headings,study_notes
i need to know test my understanding of operating systems with answers,study_quiz
could you tell me make revision notes for me for my exam,study_notes
can you help me understand computer networks in simple words,study_explain
i need to know what is feature engineering with an example,study_explain
can you generate questions for revision for practice,study_quiz
could you help me recommend a restaurant nearby when you can,generic
help me create an exam quiz for me,study_quiz
give me a brief overview of operating systems for quick revision,study_summary
please tell me a joke if possible,generic
help me make notes on object oriented programming in simple language,study_notes
please help me help me write a birthday message right now,generic
i want to know generate practice mcqs with answers,study_quiz
can you tell me make notes on object oriented programming,study_notes
please make a quick summary of this lesson,study_summary
tell me explain object oriented programming simply,study_explain
i want to know give me a short revision of this lesson,study_summary
could you what is a good book to read for fun please,generic
could you tell me create notes on artificial intelligence in a structured format,study_notes
can you tell me create notes about operating system deadlocks with important points,study_notes
what is a linked list simply,study_explain
can you explain overfitting in machine learning step by step,study_explain
could you tell me turn this study material into flashcards,study_flashcards
please reduce this content to important points for my exam,study_summary
could you tell me generate questions for revision with multiple choice options,study_quiz
make a quiz about computer networks for revision,study_quiz
could you explain sql joins in detail,study_explain
could you tell me prepare notes about cloud computing in concise form,study_notes
could you tell me test my knowledge of data structures for practice,study_quiz
i want to know summarize the important formulas in simple words,study_summary
i need help to give me a simple dinner recipe when you can,generic
can you help me recommend a restaurant nearby for me,generic
turn my study material into notes in a structured format,study_notes
could you create flashcards about operating systems for quick revision,study_flashcards
what would be a good book to read for fun this weekend,generic
tell me a joke today,generic
i need to know give me the chapter summary briefly,study_summary
please give me the chapter summary concisely,study_summary
create notes about operating system deadlocks with important points,study_notes
could you reduce this content to important points for my exam,study_summary
can you suggest a movie for the weekend today,generic
make notes about operating systems for revision,study_notes
please create flashcards from my notes covering important concepts,study_flashcards
i need to know make notes on object oriented programming for my exam,study_notes
please make flashcards about computer networks for revision,study_flashcards
can you explain primary keys and foreign keys in an easy way,study_explain
how is the weather today please,generic
give me the chapter summary briefly,study_summary
could you explain primary keys and foreign keys in simple terms,study_explain
i need to know what is a linked list simply,study_explain
help me generate practice mcqs,study_quiz
could you give me a short revision of this lesson in short,study_summary
help me what can i do this weekend when you can,generic
could you make practice questions for this lesson with answers,study_quiz
tell me help me understand computer networks in simple terms,study_explain
can you create notes about operating system deadlocks in concise form,study_notes
i need to know explain cloud computing in an easy way,study_explain
i need to know create notes on artificial intelligence with headings,study_notes
i want to know give me a brief overview of operating systems in short,study_summary
please turn this chapter into flashcards for my exam,study_flashcards
tell me test my understanding of operating systems,study_quiz
give me a simple dinner recipe,generic
make this explanation shorter briefly,study_summary
i need to know explain object oriented programming in simple terms,study_explain
could you prepare concise notes on python in a structured format,study_notes
can you tell me help me understand computer networks in simple terms,study_explain
give me a workout routine,generic
help me prepare flashcards for my exam covering important concepts,study_flashcards
help me explain primary keys and foreign keys step by step,study_explain
could you tell me create notes for this chapter,study_notes
can you tell me give me a short revision of this lesson concisely,study_summary
